image,annotation,Mask
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0115.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0115.xml,Data_Set_Larch_Casebearer/Masks/B04_0115.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0021.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0021.xml,Data_Set_Larch_Casebearer/Masks/B04_0021.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0147.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0147.xml,Data_Set_Larch_Casebearer/Masks/B04_0147.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0071.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0071.xml,Data_Set_Larch_Casebearer/Masks/B04_0071.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0096.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0096.xml,Data_Set_Larch_Casebearer/Masks/B04_0096.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0111.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0111.xml,Data_Set_Larch_Casebearer/Masks/B04_0111.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0051.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0051.xml,Data_Set_Larch_Casebearer/Masks/B04_0051.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0017.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0017.xml,Data_Set_Larch_Casebearer/Masks/B04_0017.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0124.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0124.xml,Data_Set_Larch_Casebearer/Masks/B04_0124.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0089.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0089.xml,Data_Set_Larch_Casebearer/Masks/B04_0089.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0048.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0048.xml,Data_Set_Larch_Casebearer/Masks/B04_0048.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0105.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0105.xml,Data_Set_Larch_Casebearer/Masks/B04_0105.png
